DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
2554050012;COMISION INTERM US$;-1722075000;196222253;-1892701664;;
2554050021;COMISION RETORNO $$$;-4,12E+11;17313578060;-4,28E+11;;
2554050031;COMISION COA CED $$$;-1638971414;719398;-1639220702;;
2554050032;COMISION COA CED US$;-49242201;0;-49242201;;
255410;OTRAS;-26577106,19;222569576;-33646710,19;;
2554100106;CXPA: INTERMAP INTER;-26577106,19;222569576;-33646710,19;;
2556;CUENTAS POR PAGAR A CASA MATRIZ, SUBSIDIARIAS, REL;-1384646270;49592978681;-5306750261;;
255625;OTRAS;-1384646270;49592978681;-5306750261;;
2556250003;RECAUDO- CREDI;0;7334720301;-581111795;;
2556250004;RECAUDO- EXEQU;0;1380908215;-273960274;;
2556250005;CXPA: CTAS CIA VIN;-1384646270;40877350165;-4451678192;;
2590;DIVERSAS;-4035888677;21252073225;-3028609058;;
259010;CHEQUES GIRADOS NO COBRADOS;-19664630,72;0;-19664630,72;;
2590100001;CXPA: CHEQUES GIRADO;-19664630,72;0;-19664630,72;;
259070;PRIMAS POR RECAUDAR DE COASEGURO CEDIDO;-910236;980995;-801441;;
2590700001;CXPA: PRIMAS POR REC;-910236;980995;-801441;;
259095;OTRAS;-4015313810;21251092230;-3008142986;;
2590950002;CXPA: OBLIGACIONES C;-71743787;324856799;-95060566;;
2590950003;CXPA: PRIMAS NEGATIV;-1292907200;16966532804;-1295842126;;
2590950004;CXPA: PRIMAS NEGATIV;-4360401;92283256;-1270794;;
2590950102;CXPA: CXPP-CONVE;0;2425000;-2425000;;
2590950111;CXPA: PREST.CAJA.COM;0;11288184;0;;
2590950120;CXPA: CXPP-SEGUR;0;2563179,88;-2003012,13;;
2590950122;CXPA: CXPP-GASTO;-2642850345;3851143007;-1608089410;;
2590950127;CXPA: RIESGOS Y GTOS;-3452077,31;0;-3452077,31;;
26;RESERVAS TÉCNICAS;-3,53E+12;2,37E+12;-3,76E+12;;
2610;DE RIESGOS EN CURSO;-16384533569;16981370715;-14550311968;;
261010;SEGUROS DE PERSONAS;-16384533569;16981370715;-14550311968;;
2610100011;RETS: RRC-PERSONAS D;-14580551465;14324875811;-13186146013;;
2610100012;RETS: RRC-PERSONAS D;-287683457;1200125815;-235110139;;
2610100014;RETS: RRC-PERSONAS D;-471362722;48951763;-345756305;;
2610100021;RETS: RRC-COASEG ACE;-445865707;952200352;-474813845;;
2610100041;RETS: RRC-COASEG CED;-361287;377375;-282213;;
2610100042;RETS: RRC-COASEG CED;1251344;0;1251344;;
2610100044;RETS: RRC-COASEG CED;-1251407;0;-1251407;;
2610100515;RETS: RIP_DA DIR MAN;-598708868;454839598,7;-308203390,3;;
2615;RESERVA MATEMÁTICA;-2,96E+12;6,06E+11;-3,15E+12;;
261505;VIDA INDIVIDUAL;-89411976930;93054095127;-78301640489;;
2615050011;RETS: RM-SIN AHORRO;-64278893815;8440113950;-64763431418;;
2615050012;RETS: RM-SIN AHORRO;-195756046;3352;-144867740;;
2615050014;RETS: RM-SIN AHORRO;-434902991;54438761;-307940791;;
2615050016;RETS: RESERVA MANUAL;-900000000;37516737924;21830614549;;
2615050021;RETS: RM-PARTICIP/BE;-2733550051;15986121694;-4790448502;;
2615050022;RETS: RM-PARTICIP/BE;5066895,01;7200345860;-795278965;;
2615050024;RETS: RM-PARTICIP/BE;-13602933;1650734414;-161800504;;
2615050025;RETS: RM-CON AHORRO;-20860337989;22205599172;-29168487118;;
