DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
1302050011;INVE: ALIANZA FIDUC;1233558483;8,13E+11;91764136438;;
1302050013;INVE: BBVA FIDU;122736957,1;1,02E+11;10186420922;;
1302050014;PAT_AUTONOMO;1990019264;2057805690;3419610913;;
1302050017;INVE: F_RENTACO;28673962228;36103700888;14134917912;;
1302050018;FDO INVER INMOVAL;19739767326;22740107963;11302907890;;
1302050019;INVE: TITU PART INMO;13797696622;15881173124;15428667559;;
1302050020;INVE: F_BTG PACTUAL;14555448356;509748984;14698732361;;
1302050021;INVE: F_OLD MUTUAL;3970567796;5266801876;3954157054;;
1302050022;INVE: F_ SURA;47991468391;4998944381;50179160423;;
1302050024;FIDU_BTG_VIDA;13197986111;8,29E+11;139651540,9;;
130210;EMISORES EXTRANJEROS;0;3228303963;4620724474;;
1302100002;INVE: MAPFRE AM;0;3228303963;4620724474;;
1303;INVERSIONES A COSTO AMORTIZADO;3,06E+12;1,37E+12;3,22E+12;;
130305;TITULOS DE TESORERÍA - TES;2,14E+12;9,46E+11;2,09E+12;;
1303050001;INVE: BONOS YANKEES;4,07E+11;2,99E+11;4,08E+11;;
1303050003;INVE: BONOS DE PAZ;1,72E+12;6,25E+11;1,67E+12;;
162695;OTRAS;1131996977;1036828811;52,11;;
1626950005;CXC: CTAS CIA VIN;1131996977;1036828811;52,11;;
1628;DEPÓSITOS;4694895173;143406427,1;5220000233;;
162815;PARA JUICIOS EJECUTIVOS;4694895173;143406427,1;5220000233;;
1628150001;CAJA-INCONSISTENCIAS;4694895173;83406427,06;5180598340;;
1628150002;CAJA MENOR;0;60000000;39401893;;
1630;OTACT: CAJA MENOR;4336541635;16097025562;7138351669;;
163010;BANCOS Y OTRAS ENTIDADES FINANCIERAS;0;70457925,07;0;;
1630100001;CXC: ANTICIPO INDUST;0;70457925,07;0;;
163015;RETENCIÓN EN LA FUENTE;0;7164986071;0;;
1630150003;CXC: RETENCION RENDI;0;821919808,8;0;;
1630150008;CXC: RETENCION CREE;0;2751624000;0;;
